source_key,source_page,source_position,name,comment,created_at
gameslice:p1:c1,1,1,Fijure,"I found this behind the scenes material very interesting, and I can declare myself a big fan of the idea of constantly updating it with information on the DLC's. Very interesting read.",2012-02-26 16:10:00
gameslice:p1:c2,1,2,joseph baxter,"indeed good work, i rather enjoyed this story,i cant wait for that level editor, and i know that valve truly is one of the gretest game companys out there",2012-02-26 04:53:00
gameslice:p1:c3,1,3,Fecky,Brilliant.,2012-02-25 14:47:00
gameslice:p1:c4,1,4,Its the co op bots!,in the interactive destroy apeture ther shoud have been a sentince saying whats destoyed.,2012-02-25 12:49:00
gameslice:p1:c5,1,5,[R.S]GLaDOS,not bad.,2012-02-25 09:59:00
gameslice:p1:c6,1,6,Clay,<3 It! :D I can't wait to hear more about it!,2012-02-25 06:38:00
gameslice:p1:c7,1,7,brett martin,i love it worth the purchas,2012-02-25 01:40:00
gameslice:p1:c8,1,8,kevin,love it,2012-02-25 00:58:00
gameslice:p1:c9,1,9,Aidan,DIS WAS COOL,2012-02-23 21:58:00
gameslice:p1:c10,1,10,Derpy Von derpderp,"Great book. I recommend this book to anyone who likes valve, and more importantly,portal. Totally worth 3$! Love the interactive features, dislike that all the cool stuff needs Internet to work :(",2012-02-22 17:23:00
gameslice:p2:c1,2,1,michael glinke,great. I would love for more games to do it.,2012-02-22 04:20:00
gameslice:p2:c2,2,2,B.f,Great game but story line is vague.,2012-02-21 02:47:00
gameslice:p2:c3,2,3,J.M.,"Great job Mr. Keighly, very interesting, I couldn't put it down.",2012-02-20 16:34:00
gameslice:p2:c4,2,4,Maring.S,My best game,2012-02-20 05:14:00
gameslice:p2:c5,2,5,Richard,"Don't know if Valve will read this, but while I'm glad Portal had ""portals"", that doesn't mean they couldn't make a game called ""Aperture Science: New Technology"" or something. Also, while I love the multiplayer mode, and social gaming is sure growing, there will always be folks like me that don't have a lot of folks they can team up with consistently. I don't think single player gaming will ever die.",2012-02-20 04:33:00
gameslice:p2:c6,2,6,Miguel,"It is not only inspiring but it also makes you wonder, as you read and later (re)play the game, what the game could have been.


Loved it.",2012-02-19 05:33:00
gameslice:p2:c7,2,7,Doug or readypembroke on STEAM,"Its ok  nothing really wrong, wish I could also download it as a PDF file so I could read it on my phone! :D",2012-02-18 17:02:00
gameslice:p2:c8,2,8,Elisa,"Wonderful document!!

NOW ON WITH HALF LIFE 3 :D",2012-02-18 10:09:00
